index,x,y,image_name,identifier_2,display_name_2,identifier_1,display_name_1,identifier_4,display_name_4,identifier_3,display_name_3,identifier_5,display_name_5
0,0.9,0.375,Blue Carbon/Trip8053_Ningaloo/14M_North_LG/IMG_8380.JPG,82001000,Substrate,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,99999999,Exclude | Cant Tell,99999999,Exclude | Cant Tell,82001000,Substrate
1,0.1,0.125,Blue Carbon/Trip8053_Ningaloo/14M_North_LG/IMG_8380.JPG,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum
2,0.1,0.625,Blue Carbon/Trip8053_Ningaloo/14M_North_LG/IMG_8380.JPG,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum
3,0.3,0.625,Blue Carbon/Trip8053_Ningaloo/14M_North_LG/IMG_8380.JPG,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,99999999,Exclude | Cant Tell,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum
4,0.3,0.375,Blue Carbon/Trip8053_Ningaloo/14M_North_LG/IMG_8380.JPG,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum
5,0.7,0.375,Blue Carbon/Trip8053_Ningaloo/14M_North_LG/IMG_8380.JPG,99999999,Exclude | Cant Tell,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,99999999,Exclude | Cant Tell,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum
6,0.9,0.875,Blue Carbon/Trip8053_Ningaloo/14M_North_LG/IMG_8380.JPG,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,99999999,Exclude | Cant Tell,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum
7,0.3,0.875,Blue Carbon/Trip8053_Ningaloo/14M_North_LG/IMG_8380.JPG,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,99999999,Exclude | Cant Tell,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum
8,0.7,0.625,Blue Carbon/Trip8053_Ningaloo/14M_North_LG/IMG_8380.JPG,99999999,Exclude | Cant Tell,99999999,Exclude | Cant Tell,99999999,Exclude | Cant Tell,99999999,Exclude | Cant Tell,99999999,Exclude | Cant Tell
9,0.9,0.625,Blue Carbon/Trip8053_Ningaloo/14M_North_LG/IMG_8380.JPG,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum
10,0.3,0.125,Blue Carbon/Trip8053_Ningaloo/14M_North_LG/IMG_8380.JPG,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum
11,0.5,0.375,Blue Carbon/Trip8053_Ningaloo/14M_North_LG/IMG_8380.JPG,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum
12,0.5,0.875,Blue Carbon/Trip8053_Ningaloo/14M_North_LG/IMG_8380.JPG,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum
13,0.9,0.125,Blue Carbon/Trip8053_Ningaloo/14M_North_LG/IMG_8380.JPG,82001000,Substrate,82001000,Substrate,82001000,Substrate,82001000,Substrate,82001000,Substrate
14,0.1,0.375,Blue Carbon/Trip8053_Ningaloo/14M_North_LG/IMG_8380.JPG,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum
15,0.5,0.125,Blue Carbon/Trip8053_Ningaloo/14M_North_LG/IMG_8380.JPG,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum
16,0.5,0.625,Blue Carbon/Trip8053_Ningaloo/14M_North_LG/IMG_8380.JPG,80300917,Macroalgae | Laminate | Brown | Dictyotaceae | Lobophora,99999999,Exclude | Cant Tell,99999999,Exclude | Cant Tell,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,99999999,Exclude | Cant Tell
17,0.7,0.875,Blue Carbon/Trip8053_Ningaloo/14M_North_LG/IMG_8380.JPG,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum
18,0.7,0.125,Blue Carbon/Trip8053_Ningaloo/14M_North_LG/IMG_8380.JPG,82001000,Substrate,82001000,Substrate,82001000,Substrate,82001000,Substrate,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum
19,0.1,0.875,Blue Carbon/Trip8053_Ningaloo/14M_North_LG/IMG_8380.JPG,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,99999999,Exclude | Cant Tell,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum
20,0.7,0.375,Blue Carbon/Trip8053_Ningaloo/14M_North_LG/IMG_8381.JPG,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,99999999,Exclude | Cant Tell,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum
21,0.5,0.625,Blue Carbon/Trip8053_Ningaloo/14M_North_LG/IMG_8381.JPG,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,99999999,Exclude | Cant Tell,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum
22,0.5,0.375,Blue Carbon/Trip8053_Ningaloo/14M_North_LG/IMG_8381.JPG,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,82001000,Substrate,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum
23,0.9,0.375,Blue Carbon/Trip8053_Ningaloo/14M_North_LG/IMG_8381.JPG,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,99999999,Exclude | Cant Tell,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum
24,0.1,0.875,Blue Carbon/Trip8053_Ningaloo/14M_North_LG/IMG_8381.JPG,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,99999999,Exclude | Cant Tell,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum
25,0.3,0.125,Blue Carbon/Trip8053_Ningaloo/14M_North_LG/IMG_8381.JPG,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum,54105000,Macroalgae | Erect coarse branching | Brown | Sargassaceae | Sargassum
